JENIS_DAGANGAN,BULAN,TAHUN,NEGERI,KAWASAN,SAIZ_SYARIKAT,KOD_DESTINASI_EKSPORT,KOD_NEGARA_ASAL,KAWASAN_EKONOMI,JUMLAH_DAGANGAN_RM,BARANGAN_UTAMA,DESTINASI_EKSPORT,NEGARA_ASAL
IMPORT,7,2024,JOHOR,SEMENANJUNG,SME_SMALL,MY,SG,AFTA,3676.0,"ALAT GANTI & AKSESORI BAGI TRAKTOR,KERETA, KENDERAAN BARANG/JALAN RAYA BERMOTOR",Malaysia,Singapore
IMPORT,1,2014,SELANGOR,SEMENANJUNG,LARGE,MY,IT,EU,718398.33,"SALURAN, PAIP DAN PASANGAN BESI ATAU KELULI",Malaysia,Italy
IMPORT,3,2022,WP KUALA LUMPUR,SEMENANJUNG,SME_MICRO,MY,DE,EU,9841.0,BARANGAN ELEKTRIK DAN ELEKTRONIK YANG LAIN,Malaysia,Germany
IMPORT,2,2016,MELAKA,SEMENANJUNG,LARGE,MY,JP,"OTHER COUNTRIES, NES",28593.0,PERKAKAS LITAR ELEKTRIK & ALAT GANTI,Malaysia,Japan
IMPORT,12,2015,JOHOR,SEMENANJUNG,LARGE,MY,TW,"OTHER COUNTRIES, NES",15767.0,PERKAKAS LITAR ELEKTRIK & ALAT GANTI,Malaysia,"Taiwan, Province of China"
IMPORT,5,2019,SELANGOR,SEMENANJUNG,LARGE,MY,SG,AFTA,391799.0,KELENGKAPAN PEMANASAN & PENDINGINAN & ALAT GANTI,Malaysia,Singapore
IMPORT,3,2019,MELAKA,SEMENANJUNG,LARGE,MY,US,NAFTA,5144.0,PERKAKAS LITAR ELEKTRIK & ALAT GANTI,Malaysia,United States of America
IMPORT,11,2017,SELANGOR,SEMENANJUNG,SME_MICRO,MY,DE,EU,561581.0,JENTERA & KELENGKAPAN KHUSUS UNTUK INDUSTRI TERTENTU & ALAT GANTI,Malaysia,Germany
IMPORT,3,2015,JOHOR,SEMENANJUNG,LARGE,MY,US,NAFTA,8281.0,"INJAP DAN TIUB, FOTOSEL, DLL.",Malaysia,United States of America
IMPORT,7,2019,MELAKA,SEMENANJUNG,LARGE,MY,US,NAFTA,7498.0,JENTERA & KELENGKAPAN KHUSUS UNTUK INDUSTRI TERTENTU & ALAT GANTI,Malaysia,United States of America
IMPORT,4,2023,SELANGOR,SEMENANJUNG,LARGE,MY,CN,"OTHER COUNTRIES, NES",327983.0,JENTERA & KELENGKAPAN KHUSUS UNTUK INDUSTRI TERTENTU & ALAT GANTI,Malaysia,China
IMPORT,1,2021,PULAU PINANG,SEMENANJUNG,SME_MICRO,MY,VN,AFTA,58104.0,PERKAKAS LITAR ELEKTRIK & ALAT GANTI,Malaysia,Viet Nam
IMPORT,4,2014,WP KUALA LUMPUR,SEMENANJUNG,SME_MICRO,MY,DE,EU,8478.78,KRISTAL PIEZO ELEKTRIK & ALAT GANTI,Malaysia,Germany
IMPORT,12,2024,PERAK,SEMENANJUNG,LARGE,MY,HK,"OTHER COUNTRIES, NES",890.0,"INJAP DAN TIUB, FOTOSEL, DLL.",Malaysia,Hong Kong
